Nutrient,Foods
alpha carotene,"carrot, carrot juice, pumpkin, carrots, chili powder, egg rolls, grape leaves, paprika, plantains, dandelion greens, fiddlehead ferns, dandelion grns, pimento, babyfood  dinner  chick stew  todd, tomato&veg juc, kumquats, chicken pot pie, campbell's, stinging nettles, spices, rice bowl w/ chick, tangerines, vegetable juc cocktail, split pea w/ ham soup, hyacinth-beans, tomatoes, corn grain, corn flr, cornmeal, popcorn"
ash,"salt, seasoning mix, leavening agents, pace, jellyfish, sisymbrium sp. seeds, chervil, spices, coriander leaf, celery flakes, yeast extract spread, meat extender, miso, dill weed, marjoram, chili powder, parsley, steelhead trout, rice bran, savory, celery seed, tomato powder, fennel seed, capers, sage, papad, paprika, cumin seed, kraft foods, bologna  pork  turkey & bf"
beta carotene,"carrot, paprika, grape leaves, chili powder, tomato powder, carrot juice, sweet potato, carrots, mustard grns, turnip greens, kale, dandelion greens, spinach, sweet potatoes, marjoram, sweetpotato, beet grns, turnip grns, cress, dandelion grns, coriander (cilantro) leaves, egg rolls, beet greens, chard, sage, chicory greens, coriander leaf, basil, pumpkin, collards"
beta cryptoxanthin,"paprika, chili powder, persimmons, papayas, rose hips, tangerines, tamales, papaya nectar, tangerine juc, tangerine juice, coriander (cilantro) leaves, kumquats, coriander leaf, orange juice, orange juc, cinnamon, dandelion greens, oranges, corn, pumpkin pie spice, sage, apricots, cloves, orange-grapefruit juc, nectarines, chili con carne w/bns, dandelion grns, kale, chili w/ bns, marjoram"
calcium,"leavening agents, spices, savory, marjoram, dill weed, celery seed, sage, sisymbrium sp. seeds, dill seed, poppy seed, chervil, rosemary, coriander leaf, fennel seed, parsley, cinnamon, poultry seasoning, sesame seeds, cumin seed, kraft free singles american nonfat past process chs product, coriander seed, imitation chs, caraway seed, pumpkin pie spice, cheese food, anise seed, cloves, chia seeds, toddl form, incaparina"
calories,"fat, lard, animal fat, meat drippings (lard, caribou, margarine, macadamia nuts, margarine-like, butter, pecans, mayonnaise drsng, brazilnuts, hickorynuts, baking chocolate, pine nuts, hazelnuts or filberts, hazelnuts, formulated, walnuts, sunflower sd butter, almond butter, butternuts, peanut butter w/ omega-3, mixed nuts, sesame butter, peanut butter, cashew butter, pork, sunflower sd krnls, almonds"
carbohydrates,"sweetener, sugar, sugars, chewing gum, flan, cornstarch, pectin, sweeteners, butter replcmnt, carob flour, tapioca, arrowroot flour, babyfood, noodles, corn bran, fruit syrup, martha white foods, corn cakes, potato flour, fruit leather, egg custards, candied fruit, rice crackers, honey, vermicelli, general mills, rice cake, pepeao, cracker meal, shallots"
cholesterol,"caviar, pate, roe, egg, sea lion, eggs, egg custards, chicken, fast foods, squid, steelhead trout, butter, fast foods  biscuit  w/ egg, liver cheese, cream puff shell, breakfast items, pate de foie gras, crustaceans, shrimp, poultry, lobster, eel, hormel pillow pak sliced turkey pepperoni, whale, spinach souffle, dove, turkey from whl, crayfish, cuttlefish, fat"
choline,"caviar, roe, egg, eggs, pate, soy prot isolate, soy protein isolate, soy flour, vermicelli, pork skins, bacon bits, whale, celery flakes, toddl form, cream puff shell, chckn, beef jerky, peanut flour, luncheon slices, headcheese, beef, mutton, chickpeas (garbanzo bns, fast foods, breakfast items, bison, coriander leaf, parsley, chorizo, broadbeans (fava beans)"
copper,"pepeao, sesame seeds, cocoa, baking chocolate, soy flour, oyster, mace, soy flr, cashew nuts, nuts, cashew butter, gelatins, spices, soy meal, vermicelli, baking choc, squid, sea lion, sunflower sd krnls, peanut flour, coriander leaf, safflower sd krnls, brazilnuts, safflower sd meal, hazelnuts or filberts, sunflower sd flr, poppy seed, sesame butter, soy prot isolate, soy protein isolate"
fats (lipid tot),"lard, fat, animal fat, meat drippings (lard, caribou, butter, margarine-like, margarine, mayonnaise drsng, macadamia nuts, pecans, brazilnuts, hickorynuts, pine nuts, hazelnuts or filberts, pork, walnuts, formulated, butternuts, almond butter, sunflower sd butter, peanut butter w/ omega-3, sesame butter, mixed nuts, hazelnuts, baking chocolate, sunflower sd krnls, beechnuts, peanut butter, almonds"
fiber,"corn bran, gums, fungi, curry powder, cinnamon, savory, pinon nuts, wheat bran, rosemary, coriander seed, marjoram, sage, fennel seed, carob flour, caraway seed, spices, cocoa, paprika, chili powder, chia seeds, cloves, cereals rte, celery flakes, parsley, hyacinth bns, pepper, broadbeans (fava beans), fenugreek seed, rose hips, rye flour"
folate,"yeast extract spread, cereals rte, yardlong bns, mothbeans, chickpeas (garbanzo bns, pigeon peas (red gm), chickpea flour (besan), broadbeans (fava beans), lupins, soy flour, soy prot conc, arrowroot, pate, spices, rosemary, edamame, soy meal, wheat germ, macaroni, sage, marjoram, coriander leaf, chervil, peanut flour, cottonseed meal, peanuts, sunflower sd butter, cottonseed krnls, cottonseed flr, sunflower sd krnls"
folate (dfe),"yeast extract spread, cereals rte, yardlong bns, mothbeans, chickpeas (garbanzo bns, macaroni, pigeon peas (red gm), chickpea flour (besan), broadbeans (fava beans), lupins, soy flour, soy prot conc, arrowroot, pate, spices, rosemary, soy meal, edamame, wheat flr, wheat germ, chervil, sage, coriander leaf, marjoram, cereals, semolina, bread sticks, tennis bread, peanut flour, cottonseed meal"
folic acid,"yeast extract spread, cereals rte, macaroni, wheat flr, cereals, bread sticks, tennis bread, crackers, macaroni or noodles w/ chs, popovers, cracker meal, snack, yellow rice w/ seasoning, semolina, croutons, pasta mix, frybread, bagels, rice mix, english, tortilla, pie crust, bagel, bread crumbs, bread stuffing, toddl form, inf formula. mead johnson, inf form, doughnuts, child formula"
food folate,"yeast extract spread, yardlong bns, mothbeans, chickpeas (garbanzo bns, pigeon peas (red gm), chickpea flour (besan), broadbeans (fava beans), lupins, soy flour, soy prot conc, arrowroot, pate, spices, rosemary, soy meal, edamame, wheat germ, marjoram, chervil, coriander leaf, sage, peanut flour, cottonseed meal, peanuts, sunflower sd butter, cottonseed krnls, cottonseed flr, sunflower sd krnls, soy flr, sunflower sd flr"
iron,"spices, marjoram, whale, cumin seed, turmeric, seal, dill weed, celery seed, walrus, coriander leaf, savory, anise seed, poultry seasoning, fenugreek seed, chervil, rosemary, sage, whale, parsley, incaparina, paprika, oopah (tunicate), loma linda redi-burger, ginger, pumpkin pie spice, curry powder, rice bran, fennel seed, cereals rte, thyme"
lutein and zeaxanthin,"paprika, sweet potato leaves, dandelion greens, turnip greens, cress, spinach, chard, mustard grns, chicory greens, dandelion grns, radicchio, turnip grns, kale, basil, celery flakes, collards, stinging nettles, chrysanthemum, mustard greens, arugula, spaghetti, spinach souffle, pistachio nuts, coriander leaf, parsley, rose hips, taro leaves, leeks, sage, marjoram"
lycopene,"tomato powder, tomato products, catsup, catsup, tomato&veg juc, tomato juc, ravioli, vegetable juc cocktail, rose hips, pizza rolls, guavas, spanish rice mix, carrabba's italian grill, lasagna, burrito, pizza hut 12"" chs pizza, olive garden, pizza, papayas, hot pockets, turnover, chili w/ bns, papa john's 14"" chs pizza, sardine, grapefruit, chili with beans, pasta mix, chili con carne w/bns, spices, pastry"
magnesium,"rice bran, cottonseed meal, cottonseed flr, spices, coriander leaf, wheat bran, pumpkin&squash sd krnls, cocoa, dill weed, cottonseed krnls, celery seed, soy flour, sage, parsley, fennel seed, mothbeans, savory, brazilnuts, peanut flour, soy flr, cumin seed, sesame flr, cereals rte, safflower sd krnls, sesame seeds, safflower sd meal, poppy seed, sunflower sd flr, sesame meal, marjoram"
manganese,"cloves, ginger, saffron, chickpeas (garbanzo bns, turmeric, cinnamon, pumpkin pie spice, rice bran, wheat germ, pepper, wheat bran, mango, parsley, spices, teff, curry powder, formulated, hazelnuts, celery seed, cereals rte, poultry seasoning, poppy seed, fireweed, butternuts, fennel seed, coriander leaf, rice cakes, hazelnuts or filberts, savory, rye flour"
monounsaturated fats,"macadamia nuts, hazelnuts or filberts, lard, animal fat, fat, meat drippings (lard, pecans, margarine, sunflower sd butter, peanut butter w/ omega-3, mixed nuts, hickorynuts, almond butter, margarine-like, almonds, cashew butter, cashew nuts, pate de foie gras, pork, peanuts, brazilnuts, nuts, formulated, pistachio nuts, peanut butter, pine nuts, bacon & bf stks, beechnuts, butter, pepperoni"
